@relation 'World Happiness Report 2024-weka.filters.unsupervised.attribute.Remove-R1,2,6_transformed_reordered'

@attribute 'Log GDP per capita' numeric
@attribute 'Social support' numeric
@attribute 'Freedom to make life choices' numeric
@attribute Generosity numeric
@attribute 'Perceptions of corruption' numeric
@attribute 'Positive affect' numeric
@attribute 'Negative affect' numeric
@attribute 'Life Ladder Numeric' numeric
@attribute 'Life Ladder Category' {'Very Sad',Sad,Neutral,Happy,'Very Happy'}

@data
4.203031,9.263072,0.504608,0.632465,-0.260438,0.445697,0.421274,4.203031,Neutral
4.516964,6.768578,0.743947,0.631109,-0.028094,0.856495,0.564574,4.516964,Neutral
4.180943,7.020313,0.752534,0.687634,-0.050759,0.604728,0.628695,4.180943,Neutral
5.910676,10.632104,0.881961,0.849397,-0.212972,0.659199,0.691763,5.910676,Neutral
5.818953,8.637049,0.854277,0.797057,0.004429,0.712825,0.742868,5.818953,Neutral
4.223866,8.727785,0.616412,0.906416,0.06757,0.780127,0.686477,4.223866,Neutral
4.720147,8.423292,0.510575,0.60932,0.06236,0.829615,0.543507,4.720147,Neutral
4.739677,7.125342,0.7107,0.884088,0.043135,0.687822,0.628598,4.739677,Neutral
5.813005,10.040676,0.853136,0.798819,-0.066015,0.705612,0.480803,5.813005,Neutral
7.228889,9.751877,0.892048,0.926106,-0.042061,0.836583,0.793523,7.228889,Happy
6.754524,10.881432,0.867583,0.77844,0.073678,0.445697,0.703333,6.754524,Happy
4.099555,7.687841,0.748058,0.753516,0.048716,0.731845,0.519314,4.099555,Neutral
7.970892,10.877718,0.953912,0.969788,0.266182,0.445697,0.759462,7.970892,Happy
5.839314,10.63349,0.869487,0.570095,0.107181,0.908324,0.651434,5.839314,Neutral
7.444262,11.077462,0.965962,0.960429,0.086402,0.445697,0.785607,7.444262,Happy
7.834233,10.888726,0.954201,0.932086,0.234116,0.445697,0.777936,7.834233,Happy
4.36664,10.356681,0.736195,0.446528,-0.03877,0.810166,0.327681,4.36664,Neutral
5.972364,8.764228,0.968225,0.979937,0.365649,0.470917,0.778202,5.972364,Neutral
3.878578,7.569279,0.509441,0.730287,-0.030761,0.815044,0.610478,3.878578,Sad
5.232322,8.255723,0.903067,0.784301,-0.125257,0.608808,0.650083,5.232322,Neutral
3.922664,8.547121,0.874946,0.447087,0.049782,0.715358,0.797596,3.922664,Sad
5.178487,7.112137,0.664023,0.8381,0.042412,0.627466,0.575795,5.178487,Neutral
3.809445,7.924372,0.740979,0.524798,-0.023915,0.934564,0.530137,3.809445,Sad
